symbol,0.35,price,exp_return_3m,return,,return,purchased,,,price,return
FBHS,0,61.95,21.66,0.2166,0,0,0,,,,
FCX,0,11.03,20.02,0.2002,0,0,0,,,,
FDX,0,152.27,-2.29,-0.0229,0,0,0,,,,
FE,0,46.87,4.32,0.0432,0,0,0,,,,
FFIV,0,143.56,12.93,0.1293,0,0,0,,,,
FIS,0,137.47,-1.54,-0.0154,0,0,0,,,,
FISV,0,115.35,7.81,0.0781,0,0,0,,,,
FITB,0,29.76,17.12,0.1712,0,0,0,,,,
FLIR,0,53.26,12.27,0.1227,0,0,0,,,,
FLS,0,48.21,15.09,0.1509,0,0,0,,,,
FLT,0,301,1.79,0.0179,0,0,0,,,,
FMC,0,97.08,13.69,0.1369,0,0,0,,,,
FOX,0,34.99,4.89,0.0489,0,0,0,,,,
FOXA,0,35.89,6.85,0.0685,0,0,0,,,,
FRC,0,108.62,20.69,0.2069,0,0,0,,,,
FRT,0,130.96,0.31,0.0031,0,0,0,,,,
FTI,0,19.63,-18.17,-0.1817,0,0,0,,,,
FTV,0,70.1,0.13,0.0013,0,0,0,,,,
GD,0,184.33,-1.52,-0.0152,0,0,0,,,,
GE,0,11.39,35.92,0.3592,0,0,0,,,,
GILD,0,64.88,2.27,0.0227,0,0,0,,,,
GIS,0,53.17,-2.06,-0.0206,0,0,0,,,,
GL,0,100.09,15.63,0.1563,0,0,0,,,,
GLW,0,28.62,4.11,0.0411,0,0,0,,,,
GM,0,35.28,-4.55,-0.0455,0,0,0,,,,
GOOG,0,1303.05,10.18,0.1018,0,0,0,,,,
GOOGL,0,1301.86,10,0.1,0,0,0,,,,
GPC,0,103.31,15.37,0.1537,0,0,0,,,,
GPN,0,180.51,12.01,0.1201,0,0,0,,,,
GPS,0,16.28,-0.18,-0.0018,0,0,0,,,,
GRMN,0,96.88,23.09,0.2309,0,0,0,,,,
GS,0,217.91,8.97,0.0897,0,0,0,,,,
GWW,0,312.35,14.81,0.1481,0,0,0,,,,
HAL,0,20.53,7.71,0.0771,0,0,0,,,,
HAS,0,94.91,-17.03,-0.1703,0,0,0,,,,
HBAN,0,14.66,13.64,0.1364,0,0,0,,,,
HBI,0,15.06,9.05,0.0905,0,0,0,,,,
HCA,0,139.76,13.45,0.1345,0,0,0,,,,
HD,0,220.9,1.76,0.0176,0,0,0,,,,
HES,0,67.13,7.24,0.0724,0,0,0,,,,
HFC,0,52.36,14.32,0.1432,0,0,0,,,,
HIG,0,61.9,5.74,0.0574,0,0,0,,,,
HII,0,254.26,22.53,0.2253,0,0,0,,,,
HLT,0,99.26,7.04,0.0704,0,0,0,,,,
HOG,0,35.52,11.42,0.1142,0,0,0,,,,
HOLX,0,49.19,-1.52,-0.0152,0,0,0,,,,
HON,0,177.22,8.41,0.0841,0,0,0,,,,
HP,0,38.39,-1.46,-0.0146,0,0,0,,,,
HPE,0,17.12,32.3,0.323,0,0,0,,,,
HPQ,0,19.7,4.18,0.0418,0,0,0,,,,
HRB,0,24.49,-10,-0.1,0,0,0,,,,
HRL,0,42.85,4.77,0.0477,0,0,0,,,,
HSIC,0,68.35,11.57,0.1157,0,0,0,,,,
HST,0,16.85,5.64,0.0564,0,0,0,,,,
HSY,0,149.12,-4.7,-0.047,0,0,0,,,,
HUM,0,337.77,14.72,0.1472,0,0,0,,,,
IBM,0,133.2,0.15,0.0015,0,0,0,,,,
ICE,0,94.48,2.66,0.0266,0,0,0,,,,
IDXX,0,260.5,-7.43,-0.0743,0,0,0,,,,
IEX,0,162.01,-1.68,-0.0168,0,0,0,,,,
IFF,0,136.4,23.95,0.2395,0,0,0,,,,
ILMN,0,314.91,10.63,0.1063,0,0,0,,,,
INCY,0,88.9,5.71,0.0571,0,0,0,,,,
INFO,0,72.01,10.55,0.1055,0,0,0,,,,
INTU,0,273.48,0.23,0.0023,0,0,0,,,,
IP,0,45.24,16.99,0.1699,0,0,0,,,,
IPG,0,22.13,8.8,0.088,0,0,0,,,,
IPGP,0,137.14,11.33,0.1133,0,0,0,,,,
IQV,0,142.36,-8.05,-0.0805,0,0,0,,,,
IR,0,129.84,9.9,0.099,0,0,0,,,,
IRM,0,34.07,8.57,0.0857,0,0,0,,,,
ISRG,0,572.53,15.01,0.1501,0,0,0,,,,
IT,0,157.95,19.6,0.196,0,0,0,,,,
ITW,0,172.44,13.33,0.1333,0,0,0,,,,
IVZ,0,17.19,11.26,0.1126,0,0,0,,,,
JBHT,0,115.39,15.18,0.1518,0,0,0,,,,
JCI,0,42.41,0.09,0.0009,0,0,0,,,,
JEC,0,94.26,12.79,0.1279,0,0,0,,,,
JKHY,0,150.35,6.81,0.0681,0,0,0,,,,
JNJ,0,135.94,4.09,0.0409,0,0,0,,,,
JNPR,0,25.56,9.18,0.0918,0,0,0,,,,
JPM,0,129.63,20.8,0.208,0,0,0,,,,
JWN,0,33.95,34.99,0.3499,0,0,0,,,,
K,0,65.38,3.4,0.034,0,0,0,,,,
KEY,0,19.08,17.34,0.1734,0,0,0,,,,
KEYS,0,107.51,23.15,0.2315,0,0,0,,,,
KHC,0,31.09,23.67,0.2367,0,0,0,,,,
KIM,0,21.44,16.27,0.1627,0,0,0,,,,
KLAC,0,173.67,23.72,0.2372,0,0,0,,,,
KMB,0,134.6,-3.96,-0.0396,0,0,0,,,,
KMI,0,20.06,-0.4,-0.004,0,0,0,,,,
KMX,0,99.57,19.47,0.1947,0,0,0,,,,
KO,0,53.22,-1.22,-0.0122,0,0,0,,,,
KR,0,26.59,16.06,0.1606,0,0,0,,,,
KSS,0,47.22,5.21,0.0521,0,0,0,,,,
KSU,0,152,24.54,0.2454,0,0,0,,,,
L,0,50.35,3.43,0.0343,0,0,0,,,,
LB,0,15.89,-20.23,-0.2023,0,0,0,,,,
LDOS,0,91.66,8.51,0.0851,0,0,0,,,,
LEG,0,52.37,35.81,0.3581,0,0,0,,,,
LEN,0,59.73,17.23,0.1723,0,0,0,,,,
LH,0,170.87,2.31,0.0231,0,0,0,,,,
LHX,0,204.81,-3.66,-0.0366,0,0,0,,,,
LIN,0,206.18,9.85,0.0985,0,0,0,,,,
LKQ,0,35.15,34.83,0.3483,0,0,0,,,,
LLY,0,114.61,3.24,0.0324,0,0,0,,,,
LMT,0,392.7,2.87,0.0287,0,0,0,,,,
LNC,0,57,7.2,0.072,0,0,0,,,,
LNT,0,53.14,2.45,0.0245,0,0,0,,,,
LOW,0,117.83,20.39,0.2039,0,0,0,,,,
LUV,0,56.83,13.61,0.1361,0,0,0,,,,
LVS,0,60.69,10.13,0.1013,0,0,0,,,,
LW,0,83.49,22.33,0.2233,0,0,0,,,,
LYB,0,92.23,26.86,0.2686,0,0,0,,,,
M,0,15.02,-2.21,-0.0221,0,0,0,,,,
MA,0,285.38,3.01,0.0301,0,0,0,,,,
MAA,0,137.44,9.66,0.0966,0,0,0,,,,
MAC,0,26.42,-5.64,-0.0564,0,0,0,,,,
MAR,0,132.71,1.55,0.0155,0,0,0,,,,
MAS,0,45.76,15.44,0.1544,0,0,0,,,,
MCD,0,194.13,-11.14,-0.1114,0,0,0,,,,
MCHP,0,91.15,2.54,0.0254,0,0,0,,,,
MCK,0,150.7,4.09,0.0409,0,0,0,,,,
MCO,0,223.91,3.36,0.0336,0,0,0,,,,
MDLZ,0,52.41,-2.93,-0.0293,0,0,0,,,,
MDT,0,111.79,4.56,0.0456,0,0,0,,,,
MET,0,48.94,7.87,0.0787,0,0,0,,,,
MGM,0,31.82,10.45,0.1045,0,0,0,,,,
MHK,0,140.01,23.87,0.2387,0,0,0,,,,
MKC,0,167.95,4.17,0.0417,0,0,0,,,,
MKTX,0,404.49,7.77,0.0777,0,0,0,,,,
MLM,0,263.08,4.1,0.041,0,0,0,,,,
MMC,0,107.16,10.24,0.1024,0,0,0,,,,
MMM,0,167.77,4.2,0.042,0,0,0,,,,
MNST,0,58,0.28,0.0028,0,0,0,,,,
MO,0,48.45,5.26,0.0526,0,0,0,,,,
MOS,0,18.13,-6.4,-0.064,0,0,0,,,,
MRK,0,85.27,-0.44,-0.0044,0,0,0,,,,
MRO,0,11.69,-7.37,-0.0737,0,0,0,,,,
MS,0,49.1,23.06,0.2306,0,0,0,,,,
MSCI,0,256.37,10.74,0.1074,0,0,0,,,,
MSFT,0,149.62,9,0.09,0,0,0,,,,
MSI,0,166.36,-5.15,-0.0515,0,0,0,,,,
MTB,0,162.97,11.35,0.1135,0,0,0,,,,
MTD,0,717.7,8.88,0.0888,0,0,0,,,,
MU,0,45.57,3.03,0.0303,0,0,0,,,,
MXIM,0,55.47,1.97,0.0197,0,0,0,,,,
MYL,0,17.24,-9.69,-0.0969,0,0,0,,,,
NBL,0,20.08,-9.75,-0.0975,0,0,0,,,,
NCLH,0,52.78,3.53,0.0353,0,0,0,,,,
NDAQ,0,105.7,6.86,0.0686,0,0,0,,,,
NEE,0,235.22,7.34,0.0734,0,0,0,,,,
NEM,0,38.47,-0.26,-0.0026,0,0,0,,,,
NFLX,0,305.16,2.06,0.0206,0,0,0,,,,
NI,0,26.06,-11.12,-0.1112,0,0,0,,,,
NKE,0,93.05,15.55,0.1555,0,0,0,,,,
NLSN,0,20.05,-3.28,-0.0328,0,0,0,,,,
NOC,0,353,-4.34,-0.0434,0,0,0,,,,
NOV,0,21.36,13.14,0.1314,0,0,0,,,,
NRG,0,39.64,12.29,0.1229,0,0,0,,,,
NSC,0,189.88,10.51,0.1051,0,0,0,,,,
